Deployment ID,County,Waterbody,Station Name,Lease#,Deployment Date,Deployment Time,Deployment Latitude,Deployment Longitude,Deployment Sounding,Recovery Date,Deployment Duration,Model,Frequency,Depth,Altitude,Bin Size,First Bin Range,Ensemble Interval,Averaging Interval,Pings per Ensemble,geo_location
WAC0001,Annapolis,Annapolis Basin,1042 South,1042,2020/10/22,14:20,44.6509,-65.66705,12,2020/11/30,39,Sentinel V20,1000,12,0.6,0.5,1,3600,1200,2400,POINT (-65.66705 44.6509)
WAC0002,Annapolis,Annapolis Basin,1042 North,1042,2020/10/22,14:22,44.65652,-65.65323,12,2020/11/30,39,Sentinel V20,1000,12,0.6,0.5,1,3600,1200,2400,POINT (-65.65323 44.65652)
WDC0001,Digby,Westport Harbour,Brier Island,742,2011/03/30,,44.261,-66.347,13,2011/05/04,35,Workhorse Sentinel 600kHz,600,12,0.6,0.75,1.73,3600,1200,2400,POINT (-66.347 44.261)
WDC0002,Digby,St. Mary's Bay,Centerville,NA,2019/10/15,,44.53358,-66.00035,11,2019/10/29,14,Sentinel V20,1000,10,0.6,0.5,1,1800,600,1200,POINT (-66.00035 44.53358)
WDC0003,Digby,St. Mary's Bay,Long Beach,1012,2019/01/17,,44.41283,-66.14659,30,2019/03/01,43,Sentinel V100,300,29,0.6,1,3,7200,1200,2400,POINT (-66.14659 44.41283)
WDC0004,Digby,St. Mary's Bay,Long Island,NA,2019/03/12,,44.34975,-66.22617,32,2019/04/17,31,Sentinel V100,300,31,0.6,1,3,7200,1200,2400,POINT (-66.22617 44.34975)
WGC0001,Guysborough,Dover Bay,Black Island,NA,2019/03/19,,45.26823,-60.96719,35,2019/04/25,37,Workhorse Sentinel 600kHz,600,21,0.6,1,2.1,3600,1200,2400,POINT (-60.96719 45.26823)
WGC0002,Guysborough,New Harbour,Brandy Ledge,NA,2018/11/20,,45.12923,-61.45403,28,2018/12/27,37,Workhorse Sentinel 600kHz,600,27,0.6,1,2.1,3600,1200,2400,POINT (-61.45403 45.12923)
WGC0003,Guysborough,Strait of Canso,Eddy Cove Centre,826,2014/07/09,,45.52134,-61.25405,,2014/08/07,36,Workhorse Sentinel 600kHz,600,,0.6,1,2.11,3600,1200,2400,POINT (-61.25405 45.52134)
WGC0004,Guysborough,Strait of Canso,Eddy Cove Northeast,826,2014/07/09,,45.52248,-61.25238,,2014/08/05,27,Workhorse Sentinel 600kHz,600,,0.6,1,2.11,3600,1200,2400,POINT (-61.25238 45.52248)
WGC0005,Guysborough,Fishermans Harbour,Meal Rock,NA,2018/12/20,,45.10777,-61.6426,32,2019/04/02,103,Workhorse Sentinel 600kHz,600,31,0.6,1,2.1,3600,1200,2400,POINT (-61.6426 45.10777)
WGC0006,Guysborough,Tor Bay,Centre Bay,NA,2019/02/05,,45.22525,-61.29836,22,2019/03/10,33,Workhorse Sentinel 600kHz,600,21,0.6,1,2.1,3600,1200,2400,POINT (-61.29836 45.22525)
WGC0007,Guysborough,Chedabucto Bay,Chedabucto Bay,NA,2020/07/07,,45.390035,-61.136847,,2021/02/01,209,Xeos Buoy,,,,,,,,,POINT (-61.136847 45.390035)
WHC0001,Halifax,Beaver Harbour,Beaver Harbour,NA,2011/10/12,,44.88962,-62.40395,16,2011/11/16,36,Workhorse Sentinel 600kHz,600,15,0.6,1,2.1,3600,1200,2400,POINT (-62.40395 44.88962)
WHC0002,Halifax,Owl's Head Bay,Owl's Head,772,2009/12/08,,44.7376,-62.8092,9,2010/01/08,31,Workhorse Sentinel 600kHz,600,8,0.6,1,2.09,3600,1200,2400,POINT (-62.8092 44.7376)
WHC0003,Halifax,Ship Harbour,Wolfes Island,833,2020/11/18,8:11,44.75179,-62.76327,10.5,2020/12/20,32,Workhorse Sentinel 600kHz,600,10.5,0.6,0.5,1.81,3600,1200,2400,POINT (-62.76327 44.75179)
WHC0004,Halifax,St. Margarets Bay,Shut In Island,NA,2020/07/03,11:50,44.54113,-63.96929,45.5,2020/10/05,94,Sentinel V100,300,45,0.6,1,2.98,3600,1200,2400,POINT (-63.96929 44.54113)
WHC0005,Halifax,Sheet Harbour,Sober Island Outlet,NA,2019/08/29,,44.83698,-62.47765,13,2019/10/16,48,Sentinel V20,1000,12.4,0.6,0.5,1,,,,POINT (-62.47765 44.83698)
WHC0006,Halifax,Spry Harbour,Spry Harbour,NA,2011/11/29,,44.8168,-62.6172,14,2012/01/04,36,Workhorse Sentinel 600kHz,600,13,0.6,1,2.09,3600,1200,2400,POINT (-62.6172 44.8168)
WIC0001,Inverness,Whycocomagh Bay,Gypsum Mine,NA,2018/08/15,,46.0002,-60.96485,18,2018/10/02,48,Sentinel V100,300,17,0.6,1,3.02,7200,1200,2400,POINT (-60.96485 46.0002)
